,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge
500,Na3BeAl(SiO4)2,Na3BeAl(SiO4)2_Va_O2,4.4380999999999995,-2.980470083643678,1.7295615398358943,2.170270650780994,6.733661070000048,0
501,Na3BeAl(SiO4)2,Na3BeAl(SiO4)2_Va_O3,4.4380999999999995,-2.980470083643678,1.7437640896550468,2.8485747131758306,6.707510999999963,0
502,Na3BeAl(SiO4)2,Na3BeAl(SiO4)2_Va_O4,4.4380999999999995,-2.980470083643678,1.6783995270293637,2.230243770555039,6.7080475399999475,0
503,Na3BiO3,Na3BiO3_Va_O1,2.9553000000000003,-1.7198474360221674,1.202518516146676,1.4271764364664796,4.460586569999927,0
504,Na3BiO4,Na3BiO4_Va_O1,1.1245999999999996,-1.7271877912068965,1.2504614512168737,1.1021086268478897,2.6519825899999976,0
505,Na3Ca2BiO6,Na3Ca2BiO6_Va_O1,1.6995999999999998,-2.2832010116379307,1.323744276820216,1.2933481692786652,3.712523059999862,0
506,Na3Ca2BiO6,Na3Ca2BiO6_Va_O2,1.6995999999999998,-2.2832010116379307,1.313010179808343,1.3131171741855656,3.5553433499998253,0
507,Na3SbO3,Na3SbO3_Va_O1,3.0228999999999995,-1.8600301767364535,1.233599171476406,2.1216840746030035,5.128975879999766,0
508,Na3SbO4,Na3SbO4_Va_O1,2.3398999999999996,-2.005708985581896,1.3280034752738212,1.3499101437245435,4.299767370000049,0
509,Na3SbO4,Na3SbO4_Va_O2,2.3398999999999996,-2.005708985581896,1.6896411543269056,2.389389527496937,4.801790419999984,0
510,Na3TlO2,Na3TlO2_Va_O1,1.8859,-1.3479438054980846,1.040080706544037,1.611030909279504,4.91480296000004,0
511,Na3TlO2,Na3TlO2_Va_O2,1.8859,-1.3479438054980846,1.156222978173973,1.9992228719371068,4.638003369999987,0
512,Na4As2O7,Na4As2O7_Va_O1,3.3173,-2.0155756674005305,1.7540649876880414,2.0233143153842033,3.1223831600000356,0
513,Na4As2O7,Na4As2O7_Va_O2,3.3173,-2.0155756674005305,1.6314853634769144,1.970287759152461,3.2559121500000945,0
514,Na4As2O7,Na4As2O7_Va_O3,3.3173,-2.0155756674005305,1.7084466627525752,1.8908815031685529,2.9202493600000796,0
515,Na4As2O7,Na4As2O7_Va_O4,3.3173,-2.0155756674005305,2.0912548118855763,3.4326418524122086,3.5251987300000653,0
516,Na4B2O5,Na4B2O5_Va_O1,3.931799999999999,-2.4025234576854757,1.845713900961803,3.866771063003552,6.625256120000026,0
517,Na4B2O5,Na4B2O5_Va_O2,3.931799999999999,-2.4025234576854757,1.3517104707823588,2.316185256690084,7.033295329999996,0
518,Na4B2O5,Na4B2O5_Va_O3,3.931799999999999,-2.4025234576854757,1.3406295346177046,2.372462851852311,7.080014799999967,0
519,Na4GeO4,Na4GeO4_Va_O1,2.8884999999999996,-2.0175675590229885,1.2264580719633678,1.4259876648008478,4.8971426500001005,0
520,Na4GeO4,Na4GeO4_Va_O2,2.8884999999999996,-2.0175675590229885,1.2117565074226204,1.4357606009606547,5.011667060000159,0
521,Na4GeO4,Na4GeO4_Va_O3,2.8884999999999996,-2.0175675590229885,1.2368473420196695,1.44457099810889,4.922840820000042,0
522,Na4GeO4,Na4GeO4_Va_O4,2.8884999999999996,-2.0175675590229885,1.3449276547576416,1.4199232606298169,4.630482240000115,0
523,Na4PbO4,Na4PbO4_Va_O1,1.2815,-1.610200159578544,1.2323834548105834,1.066186482334869,2.74896658000001,0
524,Na4PbO4,Na4PbO4_Va_O2,1.2815,-1.610200159578544,1.2246366108679725,1.0451122066586036,2.725313049999963,0
525,Na4PbO4,Na4PbO4_Va_O3,1.2815,-1.610200159578544,1.214450048156124,1.0536682905084844,2.75807702999999,0
526,Na4PbO4,Na4PbO4_Va_O4,1.2815,-1.610200159578544,1.4285521221202382,1.1685431877800525,2.288921259999947,0
527,Na4SiO4,Na4SiO4_Va_O1,3.3997,-2.3901058923563228,1.2509857988408335,1.7846678399703702,6.588761620000136,0
528,Na4SiO4,Na4SiO4_Va_O2,3.3997,-2.3901058923563228,1.2277981386290096,1.806239720956594,6.670062450000055,0
529,Na4SiO4,Na4SiO4_Va_O3,3.3997,-2.3901058923563228,1.2592779405693129,1.8281771317708524,6.619674010000049,0
530,Na4SiO4,Na4SiO4_Va_O4,3.3997,-2.3901058923563228,1.3437535379992207,1.7779377187172276,6.424721190000023,0
531,Na4SnO3,Na4SnO3_Va_O1,1.8379000000000003,-1.657075410775862,1.1969717726681846,2.239801726413944,5.2327277900000215,0
532,Na4SnO3,Na4SnO3_Va_O2,1.8379000000000003,-1.657075410775862,1.177413117691618,2.0246583033282284,5.14473260000012,0
533,Na4SnO3,Na4SnO3_Va_O3,1.8379000000000003,-1.657075410775862,1.1663906719867578,1.9981502611153077,5.0984747999999716,0
534,Na4SnO4,Na4SnO4_Va_O1,2.1317,-1.8676039212452116,1.1892804405561148,1.1507983414686145,4.079619819999957,0
535,Na4SnO4,Na4SnO4_Va_O2,2.1317,-1.8676039212452116,1.165292343016625,1.154792715987451,4.134188939999953,0
536,Na4SnO4,Na4SnO4_Va_O3,2.1317,-1.8676039212452116,1.1727474765695347,1.1440239344205128,4.070681170000066,0
537,Na4SnO4,Na4SnO4_Va_O4,2.1317,-1.8676039212452116,1.3216859107307752,1.1784431761226957,3.656326720000047,0
538,Na6PbO5,Na6PbO5_Va_O1,1.1032,-1.5700874682758617,1.349658804960484,1.508565196276811,3.696000540000009,0
539,Na6PbO5,Na6PbO5_Va_O2,1.1032,-1.5700874682758617,1.2844735360975492,1.280438359370244,3.795047200000008,0
540,NaAlO2,NaAlO2_Va_O1,3.9174,-2.933970703512931,1.5016528031852792,1.7853031428518185,6.998969500000053,0
541,NaAlO2,NaAlO2_Va_O2,3.9174,-2.933970703512931,1.530096251693467,1.726511145169398,6.918318899999926,0
542,NaBO2,NaBO2_Va_O1,4.1874,-2.612621758929598,1.800791350867429,4.794958586711842,6.102864149999968,0
543,NaBO2,NaBO2_Va_O2,4.1874,-2.612621758929598,1.507964346670368,2.448975321494773,7.027633270000033,0
