,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge,vacancy_index,vr_max,Eb_sum
1776,K6MgO4,K6MgO4_Va_O1,1.7312,-1.5861545939090913,0.9224249235006576,0.7547089892170609,4.408550771379312,2,191,-1.8820736227458112,5.94447704994859
1777,K6MgO4,K6MgO4_Va_O2,1.7312,-1.5861545939090913,0.9188701482320633,0.7077045917073994,4.5835344105616525,2,263,-1.8820736227458112,5.86010279275215
1778,K6Si2O7,K6Si2O7_Va_O2,3.5319,-2.4870975168666662,1.294650795359,1.7793668779087084,4.15202592344761,2,359,-1.8820736227458112,7.43945632457066
1779,KAsO2,KAsO2_Va_O1,3.7234,-1.893294109499999,2.0428502601032266,3.2521215720271996,-0.6238892598899519,2,143,-1.150088447140494,8.640472240719427
1780,KBO2,KBO2_Va_O1,4.124499999999999,-2.6493241330416666,1.808379796125676,4.31807050059917,1.7617824638606616,2,107,-1.8820736227458112,11.783289835036555
1781,KBO2,KBO2_Va_O2,4.124499999999999,-2.6493241330416666,1.393001769043842,2.1606247264216587,5.685230831825043,2,143,-1.8820736227458112,7.524822873809866
1783,KBa4Sb3O,KBa4Sb3O_Va_O1,0.9939,-1.4560364542222222,0.9278039844650452,2.6329159355440073,1.7074321381956588,2,143,-1.8820736227458112,6.78710410259961
1784,KBiO2,KBiO2_Va_O1,1.6872000000000005,-1.7274063657499994,1.6909699068975024,2.182037568463405,0.5347070813494796,2,191,-0.9858147743813158,5.592334059559706
1785,KInO2,KInO2_Va_O1,2.1456,-1.91814239325,1.635850705304314,1.3579253909924716,1.4623326561590266,2,431,-1.5993795332042406,8.205901113779516
1786,KLi2BO3,KLi2BO3_Va_O2,4.11,-2.4615572841190474,1.263958157242166,2.5014175908824923,2.389158381877936,2,215,-1.8820736227458112,10.30749996711338
1787,KLi3PbO4,KLi3PbO4_Va_O1,1.5082999999999998,-1.8470879364444448,1.553457002119542,1.7256615262604709,0.8078178780723371,2,143,-0.2712847561180753,6.200123352721114
1788,KLi3PbO4,KLi3PbO4_Va_O2,1.5082999999999998,-1.8470879364444448,1.281159833024811,1.512911135104135,1.956253556905459,2,103,-0.2712847561180753,6.741289925514708
