site,formula,full_name,valence,bv_sum_Crystal,bv_sum_nn,BVS_ratio,element
190,BiAsO4,BiAsO4_Va_O4,-2,-1.4315930378970498,-2.1271245299449117,0.7157965189485249,O
286,BiBO3,BiBO3_Va_O1,-2,-1.923950891349528,-1.923950891349528,0.961975445674764,O
382,BiBO3,BiBO3_Va_O2,-2,-0.994356375717997,-2.03021119486774,0.4971781878589985,O
478,BiBO3,BiBO3_Va_O3,-2,-1.0002247457059854,-1.9312924136802558,0.5001123728529927,O
94,BiO2,BiO2_Va_O1,nan,-2.388058884465055,-2.3880588844650545,1.1940294422325275,O
70,BiO2,BiO2_Va_O2,nan,-1.911890357308193,-1.9920093484003571,0.9559451786540965,O
62,BiSbO4,BiSbO4_Va_O1,-2,-2.460450301836782,-2.460450301836782,1.230225150918391,O
94,BiSbO4,BiSbO4_Va_O2,-2,-1.8479587089069367,-2.0439248248218327,0.9239793544534683,O
241,Ca(AsO3)2,Ca(AsO3)2_Va_O1,-2,-2.1401173148683403,-2.1401173148683403,1.0700586574341702,O
241,Ca(SbO3)2,Ca(SbO3)2_Va_O1,-2,-2.213456525306265,-2.213456525306265,1.1067282626531325,O
62,Ca2BiAsO6,Ca2BiAsO6_Va_O1,-2,-2.1622638376712953,-2.1622638376712953,1.0811319188356476,O
102,Ca2GeO4,Ca2GeO4_Va_O1,-2,-1.9379315073467234,-1.9379315073467234,0.9689657536733617,O
106,Ca2GeO4,Ca2GeO4_Va_O2,-2,-1.7249953740007014,-1.7249953740007014,0.8624976870003507,O
110,Ca2GeO4,Ca2GeO4_Va_O3,-2,-1.8937504449256444,-1.8937504449256441,0.9468752224628222,O
298,Ca2PbO4,Ca2PbO4_Va_O1,-2,-1.9343931909080863,-1.9343931909080863,0.9671965954540431,O
418,Ca2PbO4,Ca2PbO4_Va_O2,-2,-1.8208520590453359,-1.820852059045336,0.9104260295226679,O
254,Ca2Sb2O7,Ca2Sb2O7_Va_O1,-2,-2.3103481035311075,-2.3103481035311075,1.1551740517655538,O
286,Ca2Sb2O7,Ca2Sb2O7_Va_O2,-2,-2.1194670249430825,-2.2635941054273694,1.0597335124715412,O
350,Ca2Sb2O7,Ca2Sb2O7_Va_O3,-2,-1.9764997435380514,-1.9764997435380511,0.9882498717690257,O
118,Ca2SiO4,Ca2SiO4_Va_O1,-2,-1.9653310240591688,-1.9653310240591688,0.9826655120295844,O
142,Ca2SiO4,Ca2SiO4_Va_O2,-2,-2.2201828108702255,-2.2201828108702255,1.1100914054351128,O
166,Ca2SiO4,Ca2SiO4_Va_O3,-2,-2.0799404611638486,-2.0799404611638486,1.0399702305819243,O
102,Ca2Sn3O8,Ca2Sn3O8_Va_O3,-2,-1.9092459359146712,-1.9092459359146712,0.9546229679573356,O
298,Ca2SnO4,Ca2SnO4_Va_O1,-2,-1.9924714686805451,-1.9924714686805451,0.9962357343402726,O
418,Ca2SnO4,Ca2SnO4_Va_O2,-2,-1.651867185802722,-1.651867185802722,0.825933592901361,O
196,CaAl2(SiO4)2,CaAl2(SiO4)2_Va_O1,-2,-2.1966954448368616,-2.1966954448368616,1.0983477224184308,O
232,CaAl2(SiO4)2,CaAl2(SiO4)2_Va_O2,-2,-2.3801058719462427,-2.3801058719462427,1.1900529359731213,O
166,CaAl4O7,CaAl4O7_Va_O1,-2,-2.1461766128651614,-2.1461766128651614,1.0730883064325807,O
214,CaAl4O7,CaAl4O7_Va_O2,-2,-2.107081530150681,-2.107081530150681,1.0535407650753406,O
286,CaAl4O7,CaAl4O7_Va_O3,-2,-1.945935108783582,-1.9950027054372288,0.972967554391791,O
286,CaAlBO4,CaAlBO4_Va_O2,-2,-2.086816381052044,-2.086816381052044,1.043408190526022,O
214,CaAlBO4,CaAlBO4_Va_O3,-2,-1.9610207727503037,-1.9610207727503037,0.9805103863751519,O
334,CaAlBO4,CaAlBO4_Va_O4,-2,-1.8591944415262802,-1.8591944415262802,0.9295972207631401,O
62,CaGa4O7,CaGa4O7_Va_O2,-2,-1.8961813609072624,-1.8961813609072626,0.9480906804536312,O
78,CaGa4O7,CaGa4O7_Va_O3,-2,-1.7895492883045803,-1.7895492883045803,0.8947746441522901,O
94,CaGa4O7,CaGa4O7_Va_O4,-2,-1.888392163321112,-1.888392163321112,0.944196081660556,O
310,CaGaBO4,CaGaBO4_Va_O1,-2,-1.9281657999094095,-1.9281657999094095,0.9640828999547048,O
334,CaGaBO4,CaGaBO4_Va_O4,-2,-1.865395473298687,-1.8653954732986873,0.9326977366493435,O
446,CaIn2O4,CaIn2O4_Va_O1,-2,-1.549838774726172,-1.549838774726172,0.774919387363086,O
46,CaMg(SiO3)2,CaMg(SiO3)2_Va_O1,-2,-2.0845191970644104,-2.3281601121549977,1.0422595985322052,O
62,CaMg(SiO3)2,CaMg(SiO3)2_Va_O2,-2,-2.0805112775559085,-2.080511277555909,1.0402556387779542,O
78,CaMg(SiO3)2,CaMg(SiO3)2_Va_O3,-2,-2.287001516657846,-2.2870015166578455,1.143500758328923,O
102,CaMgGeO4,CaMgGeO4_Va_O1,-2,-1.8420499197947673,-1.8420499197947673,0.9210249598973836,O
110,CaMgGeO4,CaMgGeO4_Va_O2,-2,-1.859676648357522,-1.859676648357522,0.929838324178761,O
